EmployeeID;Branch       ;Tenure;Salary;Department              ;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education  ;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood           
       292;Los Angeles  ;     1; 59500;Administration          ;              2;              4;Medium         ;Married      ;High School;      3.333333333;           32;True    ;          4;                  0;                      2;Highly Likely to Churn    
       293;Denver       ;     2; 59500;Accounting              ;              5;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
       294;Scranton     ;     3; 55000;Operations              ;              5;              4;Short          ;Married      ;Bachelor   ;      4.333333333;           18;True    ;          3;                  0;                      2;Highly Likely to Churn    
       295;Denver       ;     3; 62000;IT Support              ;              5;            4.5;Medium         ;Married      ;High School;                3;           56;True    ;          3;                  0;                      2;Highly Likely to Churn    
       296;Scranton     ;     2; 45000;Facilities Management   ;              5;            4.5;Short          ;Divorced     ;High School;                4;           72;True    ;          4;                  0;                      2;Highly Likely to Churn    
       297;Seattle      ;    12; 82000;Accounting              ;              3;            3.5;Medium         ;Single       ;Master     ;                3;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       298;New York     ;    10; 67000;Research and Development;              2;            3.5;Short          ;Married      ;High School;      3.333333333;           80;True    ;          3;                  0;                      2;Highly Likely to Churn    
       299;Dallas       ;     6; 59000;Administration          ;              2;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          3;                  0;                      3;Moderately Likely to Churn
       300;New York     ;     5; 78000;Legal                   ;              3;              4;Short          ;Single       ;Bachelor   ;      3.333333333;            6;True    ;          3;                  0;                      2;Highly Likely to Churn    
       301;New York     ;     7; 77500;Product Management      ;              3;              4;Long           ;Single       ;High School;      3.333333333;           64;True    ;          4;                  1;                      3;Moderately Likely to Churn
       302;Miami        ;     6; 60000;Human Resources         ;              5;            3.5;Medium         ;Single       ;High School;      3.333333333;           56;True    ;          3;                  0;                      2;Highly Likely to Churn    
       303;Seattle      ;    13; 68000;Public Relations        ;              3;              4;Medium         ;Single       ;Bachelor   ;      3.333333333;           24;True    ;          3;                  1;                      2;Highly Likely to Churn    
       304;Scranton     ;     7; 55500;Customer Service        ;              3;            3.5;Medium         ;Divorced     ;Master     ;      3.666666667;           18;True    ;           ;                  1;                      3;Moderately Likely to Churn
       305;Scranton     ;    14; 63000;Procurement             ;              5;            3.5;Short          ;Married      ;High School;                4;           88;        ;          4;                  7;                      3;Moderately Likely to Churn
       306;Seattle      ;     6; 64000;Product Management      ;              4;            3.5;Short          ;Single       ;Bachelor   ;      3.666666667;           18;True    ;          3;                  0;                      3;Moderately Likely to Churn
       307;Philadelphia ;    10; 71000;Administration          ;              3;    3.819232221;Medium         ;Single       ;Bachelor   ;      1.639833949;  35.48634238;True    ;3.401883381;                  4;            1.276059476;Highly Likely to Churn    
       308;Miami        ;    12; 67000;Sales                   ;              5;    4.105329604;Medium         ;Married      ;Bachelor   ;       2.36722434;  23.90040338;True    ;3.021526652;                  4;            2.194450385;Highly Likely to Churn    
       309;Dallas       ;     4; 44500;Operations              ;              2;              3;Long           ;Married      ;High School;      3.333333333;           64;True    ;          4;                  0;                      3;Moderately Likely to Churn
       310;Scranton     ;     7; 74500;Product Management      ;              2;              4;Long           ;Married      ;Master     ;      3.333333333;           18;True    ;          3;                  0;                      2;Highly Likely to Churn    
       311;Boston       ;    10; 67500;Marketing               ;              3;              4;Short          ;Single       ;Bachelor   ;      3.333333333;             ;True    ;          4;                  0;                      3;Moderately Likely to Churn
       312;Denver       ;     3; 64000;Research and Development;              3;               ;Short          ;Married      ;Bachelor   ;                3;            6;True    ;          3;                  0;                      3;Highly Likely to Churn    
       313;Dallas       ;     6; 70000;Product Management      ;              1;            3.5;Short          ;Married      ;High School;      3.333333333;           72;True    ;          3;                  0;                      3;Moderately Likely to Churn
       314;Chicago      ;    10; 56500;Customer Service        ;              4;              4;Medium         ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  1;                      2;Highly Likely to Churn    
       315;Philadelphia ;    14; 79000;IT Support              ;              4;              3;Medium         ;Married      ;High School;                3;           80;True    ;          4;                  6;                      4;Moderately Likely to Churn
       316;Los Angeles  ;     6; 66500;Procurement             ;              3;            3.5;Short          ;Married      ;Bachelor   ;                4;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       317;Scranton     ;    14; 75000;Public Relations        ;              2;              3;Medium         ;Single       ;Bachelor   ;      2.666666667;           18;True    ;          3;                  2;                      2;Highly Likely to Churn    
       318;Boston       ;    15; 87000;Research and Development;              1;            2.5;Long           ;Single       ;Bachelor   ;      2.666666667;           24;        ;          2;                  0;                      2;Highly Likely to Churn    
       319;Boston       ;     5; 60000;Customer Service        ;              4;            3.5;Long           ;Married      ;High School;                3;           40;True    ;          3;                  0;                      2;Highly Likely to Churn    
       320;Philadelphia ;     3; 63000;Research and Development;              2;            3.5;Medium         ;Married      ;High School;      2.666666667;           88;True    ;           ;                  0;                      2;Highly Likely to Churn    
       321;Chicago      ;     8; 80500;Public Relations        ;              4;            3.5;Long           ;Single       ;Bachelor   ;      3.333333333;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       322;Los Angeles  ;     5; 73500;Legal                   ;              4;            3.5;Medium         ;Single       ;Bachelor   ;      3.666666667;             ;        ;          3;                  0;                      2;Highly Likely to Churn    
       323;Denver       ;    11; 65500;Research and Development;              4;              4;Medium         ;Single       ;High School;      3.666666667;           48;True    ;          4;                  4;                      3;Highly Likely to Churn    
       324;Atlanta      ;     8; 67000;Accounting              ;              3;            3.5;Long           ;Single       ;High School;                3;             ;True    ;          4;                  0;                      3;Highly Likely to Churn    
       325;New York     ;     9; 79500;Legal                   ;              5;            3.5;Medium         ;Married      ;Bachelor   ;      3.666666667;            6;True    ;           ;                  3;                      2;Highly Likely to Churn    
       326;Philadelphia ;    10; 77500;Product Management      ;              4;            3.5;Long           ;Single       ;Master     ;      3.666666667;           18;True    ;           ;                  0;                      2;Highly Likely to Churn    
       327;New York     ;     7; 64000;Accounting              ;              3;              4;Short          ;Single       ;Bachelor   ;      3.666666667;             ;True    ;          3;                  0;                      3;Moderately Likely to Churn
       328;Philadelphia ;    10; 66500;Accounting              ;              4;              4;Short          ;Single       ;Bachelor   ;                4;           36;True    ;          5;                  3;                      3;Moderately Likely to Churn
       329;San Francisco;     7; 69000;Sales                   ;              3;              4;Long           ;Married      ;High School;      4.333333333;           96;True    ;          5;                  1;                      3;Moderately Likely to Churn
       330;New York     ;    10; 73500;Research and Development;              5;     3.65866976;Long           ;Single       ;Bachelor   ;      3.460027949;   5.55130939;True    ;2.550557575;                  3;            1.756065034;Moderately Likely to Churn
       331;Seattle      ;     6; 72500;Legal                   ;              5;            3.5;Long           ;Married      ;Bachelor   ;                4;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       332;Los Angeles  ;    12; 71500;Customer Service        ;              3;            3.5;Long           ;Divorced     ;Bachelor   ;      3.333333333;             ;        ;          4;                  1;                      3;Moderately Likely to Churn
       333;New York     ;    11; 79000;Sales                   ;              5;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           24;True    ;          2;                  1;                       ;Highly Likely to Churn    
       334;Philadelphia ;     6; 65000;Accounting              ;              4;            3.5;Medium         ;Married      ;High School;                4;           64;True    ;          4;                  0;                      3;Moderately Likely to Churn
       335;New York     ;    12; 82000;Human Resources         ;              2;              3;Medium         ;Single       ;Bachelor   ;                3;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       336;Philadelphia ;    13; 65500;Administration          ;              3;            3.5;Short          ;Married      ;High School;                3;           88;True    ;          3;                  7;                      2;Highly Likely to Churn    
       337;Los Angeles  ;     5; 85500;Marketing               ;              5;              5;Medium         ;Married      ;Master     ;      4.333333333;             ;True    ;          4;                  0;                      2;Highly Likely to Churn    
       338;New York     ;    10; 73000;Procurement             ;              2;              4;Short          ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          3;                  1;                      2;Highly Likely to Churn    
       339;Scranton     ;     2; 57500;Product Management      ;              4;            3.5;Short          ;Married      ;Bachelor   ;                3;           12;True    ;          2;                  0;                      1;Highly Likely to Churn    
       340;New York     ;     1; 63500;Customer Service        ;              3;               ;Long           ;Married      ;Bachelor   ;      3.333333333;           36;True    ;          3;                  0;                      3;Moderately Likely to Churn
       341;Atlanta      ;     3; 56500;Sales                   ;              4;              3;Short          ;Married      ;High School;      3.666666667;           72;True    ;          3;                  0;                      3;Highly Likely to Churn    
       342;Denver       ;    11; 69500;Accounting              ;              3;            3.5;Long           ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  5;                      3;Highly Likely to Churn    
       343;Atlanta      ;     8; 77500;IT Support              ;              2;              4;Medium         ;Married      ;Bachelor   ;                4;           30;True    ;           ;                  1;                      3;Highly Likely to Churn    
       344;Los Angeles  ;     5; 74500;Sales                   ;              1;            3.5;Short          ;Divorced     ;Bachelor   ;      3.333333333;           18;True    ;          4;                  0;                      4;Moderately Likely to Churn
       345;Atlanta      ;    13; 67000;Research and Development;              4;              4;Short          ;Married      ;High School;      3.666666667;             ;True    ;          3;                  1;                      2;Highly Likely to Churn    
       346;New York     ;    14; 73500;Procurement             ;              5;              4;Long           ;Divorced     ;High School;      3.333333333;           56;True    ;          3;                  6;                      2;Highly Likely to Churn    
       347;Los Angeles  ;     4; 80500;Sales                   ;              5;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       348;Los Angeles  ;     4; 61000;Research and Development;              5;              4;Medium         ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       349;Scranton     ;     7; 49500;Quality Assurance       ;              3;            3.5;Long           ;Single       ;High School;                3;           72;True    ;          3;                  1;                      2;Highly Likely to Churn    
       350;Miami        ;     6; 58500;Accounting              ;              5;              4;Long           ;Divorced     ;Bachelor   ;      3.333333333;            6;True    ;          4;                  0;                      3;Highly Likely to Churn    
       351;Boston       ;     4; 70500;Marketing               ;              3;              3;Medium         ;Married      ;Bachelor   ;      2.666666667;           24;        ;          3;                  0;                      2;Highly Likely to Churn    
       352;Dallas       ;    11; 74000;Quality Assurance       ;              3;            3.5;Long           ;Single       ;Bachelor   ;                4;           24;True    ;          3;                  3;                      3;Moderately Likely to Churn
       353;Seattle      ;    16; 68500;Customer Service        ;              4;              4;Long           ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          4;                  6;                      2;Highly Likely to Churn    
       354;Los Angeles  ;     9; 64000;Customer Service        ;              4;              4;Short          ;Divorced     ;High School;      3.666666667;           72;True    ;          4;                  1;                      2;Highly Likely to Churn    
       355;Boston       ;     9; 63500;Research and Development;              5;            3.5;Short          ;Single       ;High School;      2.666666667;           80;True    ;          3;                  2;                      2;Highly Likely to Churn    
       356;Los Angeles  ;     5; 63500;Operations              ;              4;    4.420985839;Medium         ;Single       ;Bachelor   ;      3.280939942;   35.5428433;True    ;4.858832905;                  0;            3.956082241;Moderately Likely to Churn
       357;New York     ;     3; 70500;Human Resources         ;              2;              4;Medium         ;Married      ;Bachelor   ;      3.666666667;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       358;Scranton     ;     4; 56000;Public Relations        ;              3;              3;Medium         ;Single       ;Master     ;      3.666666667;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       359;Chicago      ;     3; 62000;Sales                   ;              3;              4;Short          ;Married      ;High School;      3.666666667;           96;True    ;          4;                  0;                      3;Moderately Likely to Churn
       360;Scranton     ;    12; 55500;IT Support              ;              4;            4.5;Medium         ;Divorced     ;Bachelor   ;                3;           18;True    ;          2;                  6;                      2;Highly Likely to Churn    
       361;Philadelphia ;     6; 63500;Marketing               ;              3;            4.5;Short          ;Married      ;High School;      3.666666667;             ;        ;          3;                  0;                      2;Highly Likely to Churn    
       362;Los Angeles  ;     7; 79000;Product Management      ;              2;              4;Short          ;Married      ;Master     ;      3.333333333;           36;True    ;          4;                  1;                      2;Highly Likely to Churn    
       363;Scranton     ;     5; 63500;Sales                   ;              5;    3.859858836;Short          ;Married      ;Bachelor   ;      3.879783717;  24.16800461;True    ;3.599339828;                  0;             3.39098602;Moderately Likely to Churn
       364;Atlanta      ;     4; 58500;Marketing               ;              3;              4;Short          ;Married      ;Master     ;                4;           12;True    ;          3;                  0;                      3;Highly Likely to Churn    
       365;             ;     9; 70000;Marketing               ;              2;              4;Long           ;Divorced     ;Bachelor   ;      3.333333333;           24;        ;          3;                  1;                      2;Highly Likely to Churn    
       366;Philadelphia ;     3; 57000;Customer Service        ;              4;              3;Long           ;Divorced     ;High School;      2.666666667;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       367;Denver       ;    13; 66000;Accounting              ;              3;              3;Medium         ;Single       ;Bachelor   ;      2.666666667;           30;True    ;          4;                  1;                      3;Highly Likely to Churn    
       368;Denver       ;    13; 70000;Legal                   ;              1;            3.5;Long           ;Married      ;Bachelor   ;                3;           12;True    ;          3;                  3;                      2;Highly Likely to Churn    
       369;Philadelphia ;     8; 66000;IT Support              ;              4;              4;Short          ;Married      ;Bachelor   ;                4;            6;True    ;          4;                  2;                      2;Highly Likely to Churn    
       370;Denver       ;     2; 52000;Customer Service        ;              3;              3;Long           ;Single       ;Bachelor   ;                3;           30;True    ;          3;                  0;                      2;Highly Likely to Churn    
       371;Los Angeles  ;     8;      ;Accounting              ;              2;              4;Short          ;Married      ;Bachelor   ;                4;           24;True    ;          5;                  1;                      4;Moderately Likely to Churn
       372;Scranton     ;     6; 56000;Accounting              ;              4;              4;Long           ;Divorced     ;Master     ;      3.333333333;           24;True    ;          3;                  0;                      3;Moderately Likely to Churn
       373;Philadelphia ;    20; 82000;Marketing               ;              3;            3.5;Medium         ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  7;                      2;Highly Likely to Churn    
       374;San Francisco;     6; 62500;Customer Service        ;              5;              4;Short          ;Single       ;High School;                4;           48;        ;          4;                  0;                      3;Moderately Likely to Churn
       375;Denver       ;    11; 70000;Marketing               ;              3;            3.5;Long           ;Married      ;Bachelor   ;      3.666666667;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       376;Philadelphia ;     5; 66000;Accounting              ;              2;            3.5;Short          ;Married      ;High School;                4;           72;True    ;          4;                  0;                      3;Moderately Likely to Churn
       377;Philadelphia ;     3; 59500;Facilities Management   ;              4;    2.945984941;Short          ;Married      ;Bachelor   ;      1.933874232;  36.19448892;True    ;4.436839488;                  0;            2.940309646;Moderately Likely to Churn
       378;Philadelphia ;     4; 72000;Product Management      ;              4;    4.109744176;Long           ;Married      ;Bachelor   ;      3.153338718;  36.08521231;True    ;3.326087078;                  0;             2.89669185;Moderately Likely to Churn
       379;San Francisco;     7; 64500;Public Relations        ;              3;            3.5;Medium         ;Single       ;High School;      2.666666667;           64;True    ;          2;                  0;                       ;Highly Likely to Churn    
       380;Los Angeles  ;    11; 70500;Human Resources         ;              5;              4;Medium         ;Married      ;Master     ;                3;           12;True    ;          3;                  5;                      2;Highly Likely to Churn    
       381;Los Angeles  ;     4; 78500;Research and Development;              4;            4.5;Short          ;Divorced     ;Bachelor   ;      3.666666667;           24;True    ;          4;                  0;                      3;Moderately Likely to Churn
       382;Chicago      ;     4; 65500;Public Relations        ;              4;              4;Long           ;Married      ;Bachelor   ;      3.666666667;            6;True    ;          3;                  0;                      2;Highly Likely to Churn    
       383;Seattle      ;     7; 64500;Accounting              ;              4;            3.5;Long           ;Married      ;High School;                3;           80;True    ;          3;                  1;                      2;Highly Likely to Churn    
       384;Boston       ;     6; 68000;Accounting              ;              5;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           24;        ;           ;                  0;                      2;Highly Likely to Churn    
       385;Dallas       ;     5; 59500;Procurement             ;              4;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          4;                  0;                      3;Moderately Likely to Churn
       386;Los Angeles  ;     4; 55000;Public Relations        ;              3;            3.5;Medium         ;Married      ;Bachelor   ;      3.333333333;           30;True    ;          4;                  0;                      4;Moderately Likely to Churn
       387;New York     ;     5; 73000;Marketing               ;              4;               ;Short          ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       388;Miami        ;     6; 65000;Quality Assurance       ;              2;    4.185686895;Short          ;Single       ;Bachelor   ;      3.456459417;  24.33713531;True    ;3.839032428;                  0;            2.866898145;Highly Likely to Churn    
       389;Los Angeles  ;     4; 69500;Human Resources         ;              4;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          4;                  0;                      2;Highly Likely to Churn    
       390;Scranton     ;     2; 57000;Sales                   ;              5;            3.5;Short          ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       391;Philadelphia ;     8; 67000;Legal                   ;              5;              5;Long           ;Divorced     ;High School;      2.688648074;  47.60000167;True    ;2.973593717;                  2;             2.95234554;Moderately Likely to Churn
       392;Miami        ;     3; 64000;Accounting              ;              3;              4;Short          ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          4;                  0;                      4;Highly Likely to Churn    
       393;Chicago      ;    12; 62500;IT Support              ;              4;              4;Long           ;Single       ;Bachelor   ;      4.333333333;           18;True    ;          5;                  2;                      4;Slightly Likely to Churn  
       394;New York     ;     6; 67000;Sales                   ;              4;               ;Long           ;Married      ;High School;      3.666666667;           56;True    ;          5;                  0;                      3;Moderately Likely to Churn
       395;Philadelphia ;     4; 65000;Sales                   ;              2;              4;Short          ;Married      ;High School;      3.666666667;           64;True    ;          5;                  0;                      3;Moderately Likely to Churn
       396;Los Angeles  ;    12; 78000;Human Resources         ;              4;            3.5;Long           ;Single       ;Bachelor   ;      3.666666667;             ;        ;          4;                  2;                      3;Moderately Likely to Churn
       397;Denver       ;     5; 67000;Customer Service        ;              4;            4.5;Medium         ;Single       ;Bachelor   ;                4;             ;True    ;          4;                  0;                      3;Highly Likely to Churn    
       398;Miami        ;    14; 61000;Accounting              ;              5;            4.5;Short          ;Divorced     ;High School;      3.333333333;           72;True    ;          3;                  2;                      2;Highly Likely to Churn    
       399;Los Angeles  ;     6; 71000;Sales                   ;              4;              4;Short          ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          3;                  0;                      2;Highly Likely to Churn    
       400;Atlanta      ;     5; 61000;Research and Development;               ;            3.5;Medium         ;Single       ;High School;                3;           88;True    ;          4;                  0;                      2;Highly Likely to Churn    
       401;Boston       ;     4; 60500;Sales                   ;              3;            3.5;Long           ;Divorced     ;High School;      3.666666667;           56;True    ;          3;                  0;                      2;Highly Likely to Churn    
       402;Scranton     ;     5; 54500;Operations              ;              4;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.333333333;           12;True    ;          4;                  0;                      4;Slightly Likely to Churn  
       403;Denver       ;     7; 69000;IT Support              ;              5;            4.5;Medium         ;Single       ;Bachelor   ;      3.333333333;           30;True    ;          4;                  0;                      2;Highly Likely to Churn    
       404;Chicago      ;     6; 57000;Operations              ;              5;            3.5;Medium         ;Married      ;High School;                4;           88;True    ;           ;                  0;                      3;Moderately Likely to Churn
       405;Chicago      ;    14; 89000;Sales                   ;              3;            4.5;Short          ;Divorced     ;Bachelor   ;                4;           24;        ;          4;                  4;                      3;Moderately Likely to Churn
       406;Atlanta      ;     7; 69500;Legal                   ;              5;              4;Long           ;Single       ;Bachelor   ;      3.666666667;           18;True    ;          4;                  0;                      2;Highly Likely to Churn    
       407;Los Angeles  ;     7; 69000;Human Resources         ;              3;              3;Medium         ;Single       ;Bachelor   ;      3.333333333;            6;True    ;          4;                  0;                      3;Moderately Likely to Churn
       408;Atlanta      ;     3; 63500;Human Resources         ;              3;            3.5;Long           ;Married      ;Bachelor   ;      2.666666667;           12;True    ;          3;                  0;                      2;Highly Likely to Churn    
       409;Boston       ;     4; 58000;Administration          ;              5;            3.5;Long           ;Divorced     ;Bachelor   ;      3.333333333;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       410;Philadelphia ;     5; 62000;Quality Assurance       ;              4;              4;Medium         ;Married      ;Bachelor   ;      3.333333333;             ;        ;          4;                  0;                      3;Moderately Likely to Churn
       411;Dallas       ;     7; 66500;Public Relations        ;              2;              4;Long           ;Married      ;Bachelor   ;                4;           30;True    ;          4;                  1;                      3;Moderately Likely to Churn
       412;Dallas       ;    12; 75500;Operations              ;              2;            4.5;Medium         ;Married      ;High School;      4.333333333;           64;True    ;          4;                  0;                      3;Moderately Likely to Churn
       413;Seattle      ;     8; 74000;Legal                   ;              2;              3;Medium         ;Married      ;Bachelor   ;                3;           24;True    ;          3;                  2;                      2;Highly Likely to Churn    
       414;Chicago      ;     2; 61000;Procurement             ;              4;            3.5;Medium         ;Married      ;Master     ;      3.333333333;           30;True    ;          4;                  0;                      3;Moderately Likely to Churn
       415;Scranton     ;    10; 62000;Administration          ;              3;            3.5;Short          ;Married      ;Bachelor   ;      3.333333333;             ;True    ;           ;                  3;                      3;Moderately Likely to Churn
       416;Atlanta      ;     5; 57000;Administration          ;              3;              4;Long           ;Divorced     ;Bachelor   ;                4;           30;True    ;          4;                  0;                      3;Highly Likely to Churn    
       417;Philadelphia ;     9; 71000;Administration          ;              4;               ;Short          ;Single       ;Bachelor   ;      3.672439328;  11.96939818;True    ;3.143335606;                  0;            2.755952225;Highly Likely to Churn    
       418;Miami        ;     7; 64000;Sales                   ;              3;              4;Long           ;Single       ;High School;      3.333333333;           32;True    ;          3;                  1;                      3;Highly Likely to Churn    
       419;Los Angeles  ;     2; 71500;Accounting              ;              5;              3;Short          ;Married      ;Bachelor   ;      3.333333333;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       420;Boston       ;     5; 52000;Human Resources         ;              5;    3.639490665;Short          ;Single       ;High School;      3.218029074;             ;True    ;1.505266498;                  0;            3.017328099;Highly Likely to Churn    
       421;New York     ;     4; 73500;Sales                   ;              3;            3.5;Short          ;Married      ;Bachelor   ;                4;           18;True    ;          4;                  0;                      3;Moderately Likely to Churn
       422;Scranton     ;     4; 55500;Customer Service        ;              5;               ;Medium         ;Married      ;Bachelor   ;      3.666666667;           18;        ;          4;                  0;                      4;Moderately Likely to Churn
       423;Los Angeles  ;    10; 71000;Procurement             ;              4;            4.5;Medium         ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          4;                  1;                      3;Moderately Likely to Churn
       424;Miami        ;     5; 55000;Procurement             ;              5;              4;Short          ;Married      ;High School;                4;           88;True    ;          3;                  0;                      2;Highly Likely to Churn    
       425;Denver       ;    10; 72000;Sales                   ;              2;            3.5;Long           ;Married      ;High School;      3.333333333;           32;True    ;          3;                  0;                      2;Highly Likely to Churn    
       426;New York     ;     8; 73000;Product Management      ;              5;            3.5;Short          ;Divorced     ;Bachelor   ;                4;           12;True    ;          4;                  1;                      2;Highly Likely to Churn    
       427;Atlanta      ;      ; 65500;Public Relations        ;              3;              4;Medium         ;Married      ;Bachelor   ;                4;           18;True    ;           ;                  0;                      3;Highly Likely to Churn    
       428;Atlanta      ;     5; 55000;Marketing               ;              2;            3.5;Medium         ;Married      ;High School;      3.666666667;             ;True    ;          3;                  0;                      2;Highly Likely to Churn    
       429;Scranton     ;    16; 73500;Accounting              ;              3;              3;Short          ;Divorced     ;Bachelor   ;                3;           36;True    ;          2;                  9;                      2;Highly Likely to Churn    
       430;Miami        ;     3; 49500;Customer Service        ;               ;     3.48310378;Long           ;Married      ;High School;      3.705439311;  56.37624902;True    ;3.166054316;                  0;            2.780498579;Highly Likely to Churn    
       431;Chicago      ;     7; 62000;Research and Development;              4;            3.5;Medium         ;Married      ;High School;      3.333333333;             ;True    ;          3;                  0;                      3;Moderately Likely to Churn
       432;Los Angeles  ;     4; 73000;Customer Service        ;              2;            2.5;Medium         ;Single       ;Bachelor   ;      2.333333333;           24;True    ;          3;                  0;                      2;Highly Likely to Churn    
       433;San Francisco;     4; 73000;Sales                   ;              4;            3.5;Medium         ;Married      ;High School;                3;           96;        ;          2;                  0;                      2;Highly Likely to Churn    
       434;New York     ;     6; 69500;Human Resources         ;              3;              5;Short          ;Married      ;Bachelor   ;      3.638661459;  18.40040145;True    ;1.565598105;                  0;            1.251083968;Highly Likely to Churn    
       435;Chicago      ;     6; 66000;Research and Development;              3;            3.5;Long           ;Single       ;Bachelor   ;      3.333333333;           12;True    ;          3;                  0;                      2;Highly Likely to Churn    
       436;Atlanta      ;    15; 83500;Research and Development;              2;               ;Long           ;Married      ;Bachelor   ;      3.666666667;           30;True    ;          4;                  2;                      4;Highly Likely to Churn    
       437;Philadelphia ;    14; 86500;Sales                   ;              3;            4.5;Short          ;Divorced     ;High School;      3.333333333;           88;True    ;          4;                  2;                      3;Moderately Likely to Churn
       438;Atlanta      ;     6; 61000;IT Support              ;              5;    3.768094683;Short          ;Single       ;Bachelor   ;      4.948214488;  23.66123695;True    ;3.451029063;                  0;            2.794559858;Highly Likely to Churn    
       439;Miami        ;     7; 66500;Marketing               ;              5;            4.5;Long           ;Married      ;Master     ;      3.666666667;           30;True    ;          3;                  0;                      1;Highly Likely to Churn    
       440;Scranton     ;     8; 61500;Customer Service        ;              4;    3.151800648;Medium         ;Single       ;Bachelor   ;      3.406672434;  30.42186453;True    ;4.572415719;                  2;            2.964367758;Moderately Likely to Churn
       441;Seattle      ;     3; 52000;Accounting              ;              2;            3.5;Medium         ;Single       ;High School;                3;           64;True    ;          3;                  0;                      2;Highly Likely to Churn    
       442;Atlanta      ;     6; 71000;Sales                   ;              4;              4;Short          ;Married      ;High School;                3;           64;True    ;          3;                  0;                      3;Highly Likely to Churn    
       443;Scranton     ;     9; 54500;Research and Development;              4;            3.5;Long           ;Married      ;High School;      3.666666667;           88;True    ;          4;                  2;                      3;Moderately Likely to Churn
       444;San Francisco;     5; 68500;Customer Service        ;              3;              5;Medium         ;Married      ;Bachelor   ;      4.666666667;           18;True    ;          3;                  0;                      3;Moderately Likely to Churn
       445;Seattle      ;     4; 73500;Public Relations        ;              1;            3.5;Long           ;Married      ;Master     ;                3;           36;True    ;          4;                  0;                      3;Moderately Likely to Churn
       446;Denver       ;    10; 83000;Sales                   ;              3;              4;Long           ;Married      ;Master     ;      3.666666667;           24;True    ;          4;                  4;                      3;Highly Likely to Churn    
       447;Chicago      ;     4; 69000;Marketing               ;              4;               ;Medium         ;Married      ;High School;      3.666666667;           96;True    ;          4;                  0;                      2;Highly Likely to Churn    
       448;Chicago      ;     5; 70500;Marketing               ;              4;            3.5;Medium         ;Divorced     ;Bachelor   ;      3.666666667;           36;True    ;           ;                  0;                      1;Highly Likely to Churn    
       449;New York     ;    15; 75000;Marketing               ;              1;            3.5;Long           ;Single       ;Bachelor   ;                3;           30;True    ;          3;                  5;                      2;Highly Likely to Churn    
       450;Seattle      ;     8; 71000;Sales                   ;              4;              5;Long           ;Married      ;High School;                4;           56;True    ;          3;                  2;                      3;Moderately Likely to Churn
       451;Chicago      ;     3; 55000;IT Support              ;              5;    4.573435518;Medium         ;Married      ;High School;      3.358910863;   64.5968315;True    ;4.865163698;                  0;            3.508523234;Moderately Likely to Churn
       452;Boston       ;     5; 52500;Quality Assurance       ;              3;              4;Long           ;Married      ;High School;      3.666666667;           48;        ;          4;                  0;                      2;Highly Likely to Churn    
       453;Chicago      ;     7; 66000;Product Management      ;              4;              4;Long           ;Married      ;Bachelor   ;      3.666666667;           12;True    ;          3;                  0;                      2;Highly Likely to Churn    
       454;Philadelphia ;    17; 77500;Marketing               ;              5;              4;Medium         ;Married      ;Bachelor   ;      3.333333333;           30;True    ;          3;                  2;                      2;Highly Likely to Churn    
